Gazette Number,Date,Description,Link
2471/51,2026-01-16,"Ministry of Youth Affairs and Sports - Convention against Doping in Sport Act, No. 33 of 2013 Anti - Doping - Prohibited List - 2026",https://documents.gov.lk/view/egz/2026/1/2471-51_E.pdf
2471/52,2026-01-16,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021. Order Under Section 53. Amended Ex. Gazette No. 2445/02 14.07.2025.",https://documents.gov.lk/view/egz/2026/1/2471-52_E.pdf
2471/53,2026-01-16,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021. Order Under Section 53. Amended Ex. Gazette No. 2445/04 14.07.2025.",https://documents.gov.lk/view/egz/2026/1/2471-53_E.pdf
2471/54,2026-01-16,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021. Order Under Section 53. Amended Ex. Gazette No. 2445/05 14.07.2025.",https://documents.gov.lk/view/egz/2026/1/2471-54_E.pdf
2471/55,2026-01-16,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021. Order Under Section 53. Amended Ex. Gazette No. 2445/03 14.07.2025.",https://documents.gov.lk/view/egz/2026/1/2471-55_E.pdf
2471/58,2026-01-16,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-58_E.pdf
2471/59,2026-01-16,2471/59,https://documents.gov.lk/view/egz/2026/1/2471-59_E.pdf
2471/60,2026-01-16,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2471-60_E.pdf
2471/61,2026-01-16,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-61_E.pdf
2471/62,2026-01-16,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2471-62_E.pdf
2471/63,2026-01-16,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-63_E.pdf
2471/64,2026-01-16,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-64_E.pdf
2471/65,2026-01-16,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-65_E.pdf
2471/67,2026-01-16,Election Commission - Notice under Section 66(2) Elected to the Members for Nochchiyagama P.S,https://documents.gov.lk/view/egz/2026/1/2471-67_E.pdf
,2026-01-16,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-01-16.html
2471/34,2026-01-14,Department of Local Government - NWP - Meeting for the Purpose of Electing the Vice Chairman for the Kobeigane P. S,https://documents.gov.lk/view/egz/2026/1/2471-34_E.pdf
2471/35,2026-01-14,"Land Title Settlement Dept - Olugala, rathnapura D/S/D, Rathnapura District (25/14-204-00090)",https://documents.gov.lk/view/egz/2026/1/2471-35_E.pdf
2471/36,2026-01-14,"Land Title Settlement Dept - Palle Induruwatta, Mawathagama D/S/D, Kurunegala District (25/14-204-00130)",https://documents.gov.lk/view/egz/2026/1/2471-36_E.pdf
2471/37,2026-01-14,"Land Title Settlement Dept. - Gonakumbura, Pelmadulla D/S Division, Rathnapura District - (25/14-204-00240)",https://documents.gov.lk/view/egz/2026/1/2471-37_E.pdf
2471/38,2026-01-14,"Land Title Settlement Department â€“ Godagama, Matara D/S/D, Matara District (25/14-204-00070)",https://documents.gov.lk/view/egz/2026/1/2471-38_E.pdf
2471/39,2026-01-14,"Land Title Settlement Dept. - Paranagampitiya, Ibbagamuwa D/S Division, Kurunegala District - (25/14-204-00229)",https://documents.gov.lk/view/egz/2026/1/2471-39_E.pdf
2471/40,2026-01-14,"Land Title Settlement Department â€“ Nikakotuwa, Mathale D/S/D, Mathale District (25/14-4-00029)",https://documents.gov.lk/view/egz/2026/1/2471-40_E.pdf
2471/41,2026-01-14,"Land Title Settlement Dept - Udamalwaththa, Kurunegala D/S/D, Kurunegala District (25/0401)",https://documents.gov.lk/view/egz/2026/1/2471-41_E.pdf
2471/42,2026-01-14,"Land Title Settlement Dept - Balalla, Maho D/S/D, Kurunegala District (25/0461)",https://documents.gov.lk/view/egz/2026/1/2471-42_E.pdf
2471/43,2026-01-14,"Land Title Settlement Dept- ganegoda, Elpitiya D/S/D, Galle District (25/0471)",https://documents.gov.lk/view/egz/2026/1/2471-43_E.pdf
2471/44,2026-01-14,"Land Title Settlement Dept -  Uggala, Harispattuwa D/S/D, Kandy District (25-14-204-00177)",https://documents.gov.lk/view/egz/2026/1/2471-44_E.pdf
2471/45,2026-01-14,"Land Title Settlement Dept - Ragama , Ja -Ela D/S/D, Gampaha District (24/14-4-00044)",https://documents.gov.lk/view/egz/2026/1/2471-45_E.pdf
2471/46,2026-01-14,"Land Title Settlement Dept - Olugala, rathnapura D/S/D, Rathnapura District (25/14-204-00152)",https://documents.gov.lk/view/egz/2026/1/2471-46_E.pdf
2471/47,2026-01-14,"Land Title Settlement Dept - Ilukwatta, Yatinuwara D/S/D, Kandy District (25/14-204-00051)",https://documents.gov.lk/view/egz/2026/1/2471-47_E.pdf
2471/48,2026-01-14,"Land Title Settlement Dept - Liyangahawaththa, Udunuwara D/S/D, kandy District (25/5514224)",https://documents.gov.lk/view/egz/2026/1/2471-48_E.pdf
2471/49,2026-01-14,"Land Title Settlement Dept - Thudella, Ja - Ela  D/S/D, Gampaha District (25/0487)",https://documents.gov.lk/view/egz/2026/1/2471-49_E.pdf
2471/50,2026-01-14,Governor's Secretariat - Sabaragamuwa - Fifth Supplementary Financial statement 2025,https://documents.gov.lk/view/egz/2026/1/2471-50_E.pdf
2471/14,2026-01-13,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-14_E.pdf
2471/15,2026-01-13,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-15_E.pdf
2471/16,2026-01-13,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-16_E.pdf
2471/17,2026-01-13,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-17_E.pdf
2471/18,2026-01-13,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-18_E.pdf
2471/19,2026-01-13,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2471-19_E.pdf
2471/20,2026-01-13,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2471-20_E.pdf
2471/22,2026-01-13,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2471-22_E.pdf
2471/23,2026-01-13,Elections Commission  - Filling at a vacancy in the office at member at the Panduwasnuwara Pradheshiya Sabha,https://documents.gov.lk/view/egz/2026/1/2471-23_E.pdf
2471/24,2026-01-13,"Election Commission - Parliamentary Elections Act, No 01 of 1981 Notice under Section 7 (4) (b) Symbols of the Political Parties",https://documents.gov.lk/view/egz/2026/1/2471-24_E.pdf
2471/25,2026-01-13,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2471-25_E.pdf
2471/26,2026-01-13,"Land Title Settlement Dept - Kodayana, Siyambalanduwa D/S/D, Monaragala, District (7899)",https://documents.gov.lk/view/egz/2026/1/2471-26_E.pdf
2471/27,2026-01-13,"Land Title Settlement Dept - Kibulapitiya, Katana D/S/D, Gampaha District (7902)",https://documents.gov.lk/view/egz/2026/1/2471-27_E.pdf
2471/28,2026-01-13,"Land Title Settlement Dept - Uduwawala, Harispaththuwa D/S/D, Kandy District (7901)",https://documents.gov.lk/view/egz/2026/1/2471-28_E.pdf
2471/29,2026-01-13,"Land Title Settlement Dept - Pilikuttuwa, Mahara D/S/D, Gampaha District (25/0426)",https://documents.gov.lk/view/egz/2026/1/2471-29_E.pdf
2471/30,2026-01-13,"Land Title Settlement Department - kandawala, Rathmalana D/S/D, Colombo District (25/0403)",https://documents.gov.lk/view/egz/2026/1/2471-30_E.pdf
2471/31,2026-01-13,"Land Title Settlement Department - Chithragala, Hambanthota D/S/D, Hambanthota District (25/0377)",https://documents.gov.lk/view/egz/2026/1/2471-31_E.pdf
2471/32,2026-01-13,"Land Title Settlement Dept - Gangodagama, Hakmana D/S/D, Matara District ( 7893)",https://documents.gov.lk/view/egz/2026/1/2471-32_E.pdf
2471/33,2026-01-13,Department of Animal Production and Health - Animal Diseases Act No 59 of 1992 Amended Extra Ordinary Gazette No 2456/59,https://documents.gov.lk/view/egz/2026/1/2471-33_E.pdf
2471/01,2026-01-12,Sri Lanka Customs - Rates of Exchange with effect from 12.01.2026 to 18.01.2026,https://documents.gov.lk/view/egz/2026/1/2471-01_E.pdf
2471/03,2026-01-12,"Land Acquisition - Theliyagonna, Kurunegala D/S/D, Kurunegala District Biyagama, Biyagama D/S/D, Gampaha District",https://documents.gov.lk/view/egz/2026/1/2471-03_E.pdf
2471/04,2026-01-12,"Land Acquisition - Gonawala, Biyagama D/S/D, Gampaha District 
Land Acquisition - Hanwella, Badulla D/S/D, Badulla District -",https://documents.gov.lk/view/egz/2026/1/2471-04_E.pdf
2471/05,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-05_E.pdf
2471/06,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-06_E.pdf
2471/07,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-07_E.pdf
2471/08,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-08_E.pdf
2471/09,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-09_E.pdf
2471/10,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-10_E.pdf
2471/11,2026-01-12,Land Acquisition,https://documents.gov.lk/view/egz/2026/1/2471-11_E.pdf
2470/58,2026-01-10,Office of the Public Service Commission - The Medical Service Minute of the Sri Lanka Health Service 08th Amendment,https://documents.gov.lk/view/egz/2026/1/2470-58_E.pdf
2470/59,2026-01-10,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-59_E.pdf
2470/60,2026-01-10,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-60_E.pdf
2470/61,2026-01-10,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-61_E.pdf
2470/62,2026-01-10,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-62_E.pdf
2470/54,2026-01-09,"Land Acquisition - Bambaragahadeniya, Theldeniya Medadumbara D/S/D, Kandy District (Section 38 a)",https://documents.gov.lk/view/egz/2026/1/2470-54_E.pdf
2470/55,2026-01-09,"Land Acquisition - Manipay Valikamama South West, Sandilipay D/S/D, Jaffna District",https://documents.gov.lk/view/egz/2026/1/2470-55_E.pdf
2470/56,2026-01-09,Presidential Secretariat - The Public Security Ordinance (Chapter 40). Notice under Section 2(7).Ordinance Throughout Sri Lanka with effect from 28th   December 2025.,https://documents.gov.lk/view/egz/2026/1/2470-56_E.pdf
2470/57,2026-01-09,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-57_E.pdf
,2026-01-09,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-01-09.html
2470/31,2026-01-08,Elections Commission - Appointments Accordance with the Provisions of 66 C (4) L.A.E.O Post of Chairman and Vice Chairman of Anamaduwa P S,https://documents.gov.lk/view/egz/2026/1/2470-31_E.pdf
2470/32,2026-01-08,"Land Acquisition - Ihalagama, gampaha D/S/D, Gampaha District ,
Kekulanda , Udapalatha D/S/D, Kandy District",https://documents.gov.lk/view/egz/2026/1/2470-32_E.pdf
2470/33,2026-01-08,Ministry of Public Administration - Appointment under the Notaries Ordinance,https://documents.gov.lk/view/egz/2026/1/2470-33_E.pdf
2470/34,2026-01-08,"Land Acquisition - Giddawa Medadumbara D/S/D, Kandy District",https://documents.gov.lk/view/egz/2026/1/2470-34_E.pdf
2470/35,2026-01-08,"Land Acquisition - Baddegama, Panwila D/S/D, Kandy District, Mangoda Medadumbara D/S/D, Kandy District (Section 38 a)",https://documents.gov.lk/view/egz/2026/1/2470-35_E.pdf
2470/36,2026-01-08,"Land Acquisition - Boralesgamuwa, Kesbewa D/S/D, Colombo District 
Land Acquisition - Kotikawatta, Kolonnawa D/S/D, Colombo District
Land Acquisition - Ellakattuwa, Nuwaragampalathga Central D/S/D, Anuradhapura District",https://documents.gov.lk/view/egz/2026/1/2470-36_E.pdf
2470/37,2026-01-08,"Land Acquisition - Gangodawila South, maharagama D/S/D, Colombo District 
Land Acquisition - Gangodawila , Maharagama D/S/D, Colombo District",https://documents.gov.lk/view/egz/2026/1/2470-37_E.pdf
2470/38,2026-01-08,"Land Acquisition - Uduwala West, Harispattuwa D/S/D, Kandy District",https://documents.gov.lk/view/egz/2026/1/2470-38_E.pdf
2470/39,2026-01-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-39_E.pdf
2470/40,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-40_E.pdf
2470/41,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-41_E.pdf
2470/42,2026-01-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-42_E.pdf
2470/43,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-43_E.pdf
2470/45,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-45_E.pdf
2470/46,2026-01-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-46_E.pdf
2470/47,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-47_E.pdf
2470/48,2026-01-08,"Election Commission - Parliamentary Elections Act, No. 01 of 1981 Recognized Political Parties",https://documents.gov.lk/view/egz/2026/1/2470-48_E.pdf
2470/49,2026-01-08,Office of the Governor - UVA Province - Appointment Made by the Governor of UVA Province,https://documents.gov.lk/view/egz/2026/1/2470-49_E.pdf
2470/50,2026-01-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-50_E.pdf
2470/51,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-51_E.pdf
2470/52,2026-01-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-52_E.pdf
2470/53,2026-01-08,Land Title Settlement Department,https://documents.gov.lk/view/egz/2026/1/2470-53_E.pdf
2470/22,2026-01-07,Election Commission - Filling of a Vacancy in the Office of member of the Dehiowita Pradheshiya Sabha,https://documents.gov.lk/view/egz/2026/1/2470-22_E.pdf
2470/23,2026-01-07,Presidential Secretariat - Appointed Mr. Chandima C. Muhandiramge  as the Chief Secretary of the Southern Province.,https://documents.gov.lk/view/egz/2026/1/2470-23_E.pdf
2470/24,2026-01-07,"Land Acquission - Bamunuwala, Kurunegala D/S/DS, Kurunegala District 
Malkadawawa , Kurnegalala D/S/D, Kurunegala District,",https://documents.gov.lk/view/egz/2026/1/2470-24_E.pdf
2470/25,2026-01-07,Public Service Commission of Central Provincial - Minute of the Central Provincial Management Service Officers' Service - Amendment No 5,https://documents.gov.lk/view/egz/2026/1/2470-25_E.pdf
2470/26,2026-01-07,Ministry of Public Administration - Appointments under the Notaries Ordinance,https://documents.gov.lk/view/egz/2026/1/2470-26_E.pdf
2470/28,2026-01-07,Ministry of Public Administration - Appointments under the Notaries Ordinance,https://documents.gov.lk/view/egz/2026/1/2470-28_E.pdf
2470/29,2026-01-07,"Land Acquisition -Kottawa, maharagama D/S/D, Colombo District 
Nainamadama, Wennappuwa D/S/D, Puttalam District
Thalagaspitiya, Aranayaka D/S/D, Kegalle Distrct",https://documents.gov.lk/view/egz/2026/1/2470-29_E.pdf
2470/30,2026-01-07,"Ministry of Trade, Commerce, Food Security - The Societies Ordinance",https://documents.gov.lk/view/egz/2026/1/2470-30_E.pdf
2470/19,2026-01-06,Ministry of Defence - United Nations Security Council Resolution (UN Scr) 1373 - Regulation No. 01 of 2012,https://documents.gov.lk/view/egz/2026/1/2470-19_E.pdf
2470/20,2026-01-06,Ministry of Defence - Freezing Order Made under Regulations 5 of the United Nations Regulation No. 01 of 2012,https://documents.gov.lk/view/egz/2026/1/2470-20_E.pdf
2470/01,2026-01-05,Sri Lanka Customs - Rates of Exchange w.e.f. 05.01.2026 to 11.01.2026,https://documents.gov.lk/view/egz/2026/1/2470-01_E.pdf
2470/02,2026-01-05,"Land Acquisition - Amendment Hingurakgoda D/S/D,
Sooriyapaluwa , Mahara D/S/D, Gamapaha District",https://documents.gov.lk/view/egz/2026/1/2470-02_E.pdf
2470/04,2026-01-05,Ministry of Justice and National Integration - Mutual Assistance in Criminal Matters Act No . 25 of 2002,https://documents.gov.lk/view/egz/2026/1/2470-04_E.pdf
2470/05,2026-01-05,"Land Acquisition - Balavinna, Godakawela D/S/D, Ratnapura District",https://documents.gov.lk/view/egz/2026/1/2470-05_E.pdf
2470/06,2026-01-05,Governor's Offiice - North Central - Appointment made by Hon.Governer of North Central Provincial Council,https://documents.gov.lk/view/egz/2026/1/2470-06_E.pdf
2470/07,2026-01-05,Deraniyagala Pradheshiya Sabha - List of Roads and Thoroughfares,https://documents.gov.lk/view/egz/2026/1/2470-07_E.pdf
2470/08,2026-01-05,"Land Title Settlement Dept -Ayagama, Ayagama D/S/D, Ratnapura District (25/0456)",https://documents.gov.lk/view/egz/2026/1/2470-08_E.pdf
2470/09,2026-01-05,"Land Title Settlement Dept -Thalawaththa, Udunuwara D/S/D, Kandy District (7892)",https://documents.gov.lk/view/egz/2026/1/2470-09_E.pdf
2470/10,2026-01-05,"Land Title Settlement Dept - Weeravila New Town, Lunugamwehera D/S/D, Hambantota District (25/0373)",https://documents.gov.lk/view/egz/2026/1/2470-10_E.pdf
2470/11,2026-01-05,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/1/2470-11_E.pdf
2470/12,2026-01-05,Ministry of Agriculture Livestock Lands and Irrigation - Veterinary Surgeons and Practitioners Act No . 46 No of 1956 Regulations,https://documents.gov.lk/view/egz/2026/1/2470-12_E.pdf
2470/13,2026-01-05,"Land Acquisition - Kithalawa , Kuliyapitiya West D/S/D, Kurunegala District",https://documents.gov.lk/view/egz/2026/1/2470-13_E.pdf
2470/14,2026-01-05,"Ministry of Transport, Highways and Urban Development - The Motor Traffic Act ( Chapter 203) Regulation",https://documents.gov.lk/view/egz/2026/1/2470-14_E.pdf
2470/15,2026-01-05,Department of Local Government - Eastern Province - Elected Vice Chairman of Irakkamam Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/1/2470-15_E.pdf
2470/16,2026-01-05,Secretariat of the Governor - Eastern Province - Delegation of powers to the Assistant Commissioner of Ampara District,https://documents.gov.lk/view/egz/2026/1/2470-16_E.pdf
2470/17,2026-01-05,Governor Secretariat - Northern Province - Appointed Kandiah Ariyanayagam as an investigation officer of Vavuniya M.C,https://documents.gov.lk/view/egz/2026/1/2470-17_E.pdf
2470/18,2026-01-05,"Commission to Investigate Allegations to Bribery or Corruption - Anti - Corruption Act, No 09 of 2023 Rule",https://documents.gov.lk/view/egz/2026/1/2470-18_E.pdf
2469/36,2026-01-04,Central Bank of Sri Lanka - Extended the Term of the Administrator Appointed to Nation Lanka Finance PLC,https://documents.gov.lk/view/egz/2026/1/2469-36_E.pdf
2469/37,2026-01-04,"Land Acquisition - Ettampitiya, Haliela D/S/D, Badulla District (Section 05)",https://documents.gov.lk/view/egz/2026/1/2469-37_E.pdf
2469/38,2026-01-04,"Land Title Settlement Dept - Horombuwa, Wariyapola D/S/D, Kurunegala District (2/14-204-0144)",https://documents.gov.lk/view/egz/2026/1/2469-38_E.pdf
2469/39,2026-01-04,"Land Title Settlement Dept - Hapugala, Bope Poddala D/S/D, Galle District (25/14-204-0119)",https://documents.gov.lk/view/egz/2026/1/2469-39_E.pdf
2469/40,2026-01-04,"Land Title Settlement Dept - Dandugama, Ja -Ela D/S/D, Gampaha District (25/14-204-0238)",https://documents.gov.lk/view/egz/2026/1/2469-40_E.pdf
2469/30,2026-01-02,"Land Title Settlement Dept - Polonnaruwa,  Tangalle D/S/D, Hambantota District ( 25/14-204-00533)",https://documents.gov.lk/view/egz/2026/1/2469-30_E.pdf
2469/31,2026-01-02,"Land Title Settleemnt Dept - AAthimale, Siyambalanduwa D/S/D, Monaragala District (25/14-204-00098)",https://documents.gov.lk/view/egz/2026/1/2469-31_E.pdf
2469/32,2026-01-02,"Land Title Settlement Dept - Deyyagala, Eheliyagoda D/S/D, Rathnapura District (24/14-204-00063)",https://documents.gov.lk/view/egz/2026/1/2469-32_E.pdf
2469/33,2026-01-02,"Land Title Settlement Dept - Paragodamulla, Kuliyapitiya D/S/D, Kurunegala District (25/0459)",https://documents.gov.lk/view/egz/2026/1/2469-33_E.pdf
2469/34,2026-01-02,"Land Title Settlement Dept - Kirindiwela, Dompe D/S/D, Gampaha District (25/0477)",https://documents.gov.lk/view/egz/2026/1/2469-34_E.pdf
2469/35,2026-01-02,"land Acquisition - Ilukwelakumbura, Pathadumbara D/S/D, Kandy District 
Correction Paper Pitbeddara D/S/D
Correction Paper Kiriella D/S/D
Correction Paper Ambalangoda D/S/D",https://documents.gov.lk/view/egz/2026/1/2469-35_E.pdf
,2026-01-02,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-01-02.html
2469/18,2026-01-01,Election Commission - Notice under Section 12 (1) Revision of the Electoral Registers - 2026,https://documents.gov.lk/view/egz/2026/1/2469-18_E.pdf
2469/19,2026-01-01,Ministry of Justice and National Integration - Prison Ordinance (Chapter 54) Order under Section 2,https://documents.gov.lk/view/egz/2026/1/2469-19_E.pdf
2469/20,2026-01-01,"Land Title Settlement Dep t- Piyadigama, Galle Four Gravets D/S/D, Galle District (25/14/204-00041)",https://documents.gov.lk/view/egz/2026/1/2469-20_E.pdf
2469/21,2026-01-01,"Land Title Settlement Dept - Borakadiththa, Gonapeenuwala D/S/D, Galle District (25/14-204-0059)",https://documents.gov.lk/view/egz/2026/1/2469-21_E.pdf
2469/22,2026-01-01,"Land Title Settlement Dept - Puwakpitiya, Galewela D/S/D, Matale District (25/14-204-00050)",https://documents.gov.lk/view/egz/2026/1/2469-22_E.pdf
2469/23,2026-01-01,"Land Title Settlement Dept - Samagipura, Mihinthale D/S/D, Anuradhapura District (25/1200155)",https://documents.gov.lk/view/egz/2026/1/2469-23_E.pdf
2469/24,2026-01-01,"Land Title Settlement Dept - Kanwewa, Mahawa D/S/D, Kurunegala  District (25/14-204-000244)",https://documents.gov.lk/view/egz/2026/1/2469-24_E.pdf
2469/25,2026-01-01,"Land Title Settlement Dept - Thunkamaa, Embilipitiya D/S/D, Ratnapura District (25/12-00156)",https://documents.gov.lk/view/egz/2026/1/2469-25_E.pdf
2469/26,2026-01-01,"Land Acquisition - Naththabura, Rambukkana D/S/D, Kegalle District 
Kadaawattiya, Rambukkana D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/1/2469-26_E.pdf
2469/27,2026-01-01,"Land Acquisition -Kudagama, Rambukkana D/S/D, Kegalle District 
Naththambura , Rambukkana D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/1/2469-27_E.pdf
2469/28,2026-01-01,"Land Acquisition - Parabevila, Polgahawela D/S/D, Kurunegala District",https://documents.gov.lk/view/egz/2026/1/2469-28_E.pdf
2469/29,2026-01-01,Ayagama Pradeshiya Sabha - Roads and Narrow Lanes,https://documents.gov.lk/view/egz/2026/1/2469-29_E.pdf
,2025-12-26,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-12-26.html
,2025-12-19,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-12-19.html
,2025-12-12,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-12-12.html
,2025-12-05,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-12-05.html
,2025-11-28,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-11-28.html
,2025-11-21,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-11-21.html
,2025-11-14,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-11-14.html
,2025-11-07,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-11-07.html
,2025-10-31,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-10-31.html
,2025-10-24,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-10-24.html
,2025-10-17,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-10-17.html
,2025-10-10,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-10-10.html
,2025-10-03,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-10-03.html
,2025-09-26,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-09-26.html
,2025-09-19,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-09-19.html
,2025-09-12,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-09-12.html
,2025-09-05,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-09-05.html
,2025-08-29,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-08-29.html
,2025-08-22,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-08-22.html
,2025-08-15,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-08-15.html
,2025-08-08,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-08-08.html
,2025-08-01,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-08-01.html
,2025-07-25,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-07-25.html
,2025-07-18,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-07-18.html
,2025-07-11,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-07-11.html
,2025-07-04,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-07-04.html
,2025-06-27,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-06-27.html
,2025-06-20,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-06-20.html
,2025-06-13,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-06-13.html
,2025-06-06,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-06-06.html
,2025-05-30,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-05-30.html
,2025-05-23,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-05-23.html
,2025-05-16,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-05-16.html
,2025-05-09,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-05-09.html
,2025-05-02,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-05-02.html
,2025-04-25,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-04-25.html
,2025-04-18,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-04-18.html
,2025-04-11,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-04-11.html
,2025-04-04,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-04-04.html
,2025-03-28,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-03-28.html
,2025-03-21,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-03-21.html
,2025-03-14,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-03-14.html
,2025-03-07,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-03-07.html
,2025-02-28,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-02-28.html
,2025-02-21,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-02-21.html
,2025-02-14,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-02-14.html
,2025-02-07,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-02-07.html
,2025-01-31,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-01-31.html
,2025-01-24,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-01-24.html
,2025-01-17,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-01-17.html
,2025-01-10,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-01-10.html
,2025-01-03,Ordinary Gazette,https://documents.gov.lk/view/gz/2025-01-03.html
,2024-12-27,Ordinary Gazette,https://documents.gov.lk/view/gz/2024-12-27.html
,2024-12-20,Ordinary Gazette,https://documents.gov.lk/view/gz/2024-12-20.html
